pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3
products_data.csv|__unknown__|seller_id:560483||products_data.csv|__unknown__|seller_id:598085,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:560483,products_data.csv|__unknown__|seller_id:598085,__unknown__,__unknown__,1,1,high,pending,,0.333333,0,1,0,0,0,2,1,0,0,0.416667,0.0,0.416667,0.416667,0,11.807584,0.0,5.903792,0,0,0,3,0.722979,0.614234,673,673,0.072917,0.108631,0.116071,0.078869,0.10119,0.458334,0.0,0.0,0.049107,0.061012,1.0,7.5,2.5,50.5,0.012315,0.046814,0.0,0.0,0.166667,0.003187,0.990479,0.870154,0.929412,0.938287,0.883334,0.700571,0.025776
products_data.csv|__unknown__|seller_id:491210||products_data.csv|__unknown__|seller_id:519199,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:491210,products_data.csv|__unknown__|seller_id:519199,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,5.903792,0.0,5.903792,0,0,0,3,0.632289,0.639368,673,673,0.099702,0.318453,0.354167,0.305059,0.129464,0.127977,0.0,0.0,0.0,0.061012,2.0,11.5,8.0,346.0,0.018771,0.022065,0.0,0.0,0.0,0.00422,0.995366,0.948189,0.954454,0.972303,0.878996,0.738639,0.613417
products_data.csv|__unknown__|seller_id:317037||products_data.csv|__unknown__|seller_id:5463,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:317037,products_data.csv|__unknown__|seller_id:5463,__unknown__,__unknown__,1,1,high,pending,,0.0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,19.243854,0.0,6.414618,0,0,0,2,0.682226,0.470874,673,673,0.072917,0.18006,0.0,0.181547,0.267857,0.014881,0.0,0.0,0.837798,0.0,1.0,7.5,0.0,85.0,0.030667,0.002343,0.0,0.0,0.333333,0.0,0.99121,0.904458,0.93799,0.950288,0.889759,0.632932,0.0663
products_data.csv|__unknown__|seller_id:575281||products_data.csv|__unknown__|seller_id:583340,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:575281,products_data.csv|__unknown__|seller_id:583340,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,23.432847,0.0,5.858212,0,0,0,3,0.561308,0.830152,673,673,0.072917,0.0,0.288691,0.002976,0.011904,0.208334,0.013393,0.016369,0.0,0.056548,1.0,0.0,8.5,1.0,0.002249,0.020826,0.333333,0.333333,0.0,0.002373,0.992083,0.939446,0.951428,0.960904,0.906695,0.912615,0.625804
products_data.csv|__unknown__|seller_id:582222||products_data.csv|__unknown__|seller_id:588888,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:582222,products_data.csv|__unknown__|seller_id:588888,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,4,1,0,0,0.076923,0.333333,0.333333,0.25641,0,24.795426,0.0,6.198856,0,0,0,3,0.549829,0.833171,673,673,0.072917,0.0,0.098214,0.714286,0.200892,0.450893,0.0,0.022322,0.0,0.116072,1.0,0.0,3.5,1477.0,0.035811,0.12462,0.0,0.5,0.0,0.007531,0.988891,0.935003,0.960058,0.947919,0.930191,0.602028,0.413027
products_data.csv|__unknown__|seller_id:509685||products_data.csv|__unknown__|seller_id:555218,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:509685,products_data.csv|__unknown__|seller_id:555218,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,2,1,0,0,0.363636,0.285714,0.363636,0.077922,0,10.190179,0.0,5.09509,2,0,0,3,0.526383,0.802265,673,673,0.0,0.328869,0.316964,0.061012,0.236607,0.116072,0.0,0.0,0.0,0.089286,0.0,29.2,7.0,56.0,0.028167,0.010251,0.0,0.0,0.0,0.006618,0.990393,0.894036,0.957697,0.977915,0.916226,0.687255,0.205083
products_data.csv|__unknown__|seller_id:527483||products_data.csv|__unknown__|seller_id:665317,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:527483,products_data.csv|__unknown__|seller_id:665317,__unknown__,__unknown__,1,1,high,pending,,0.0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,12.253872,0.0,6.126936,0,0,0,2,0.578472,0.534939,673,673,0.072917,0.069941,0.28869,0.324404,0.169643,0.269345,0.0,0.0,0.837798,0.238095,1.0,7.0,6.0,106.5,0.023085,0.044276,0.0,0.0,0.333333,0.01676,0.991019,0.832404,0.937899,0.955666,0.909747,0.677354,0.07835
products_data.csv|__unknown__|seller_id:565793||products_data.csv|__unknown__|seller_id:579776,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:565793,products_data.csv|__unknown__|seller_id:579776,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.416667,0.416667,0.416667,0,6.126936,0.0,6.126936,0,0,0,3,0.436901,0.852063,673,673,0.072917,0.092262,0.160714,0.010416,0.130952,0.010417,0.0,0.0,0.0,0.236607,1.0,3.5,2.5,316.5,0.021471,0.010126,0.0,0.0,0.0,0.018566,0.989796,0.919735,0.960283,0.973004,0.918197,0.717509,0.096457
products_data.csv|__unknown__|seller_id:17318||products_data.csv|__unknown__|seller_id:602704,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:17318,products_data.csv|__unknown__|seller_id:602704,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,5.903792,0.0,5.903792,0,0,0,3,0.431056,0.857123,673,673,0.172619,0.008929,0.111607,0.086309,0.004464,0.037203,0.0,0.0,0.0,0.110119,1.0,1.0,2.0,125.5,0.000916,0.003501,0.0,0.0,0.0,0.013602,0.990441,0.879793,0.947723,0.957662,0.923895,0.810848,0.333819
products_data.csv|__unknown__|seller_id:579292||products_data.csv|__unknown__|seller_id:579776,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:579292,products_data.csv|__unknown__|seller_id:579776,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,2,1,0,0,0.083333,0.416667,0.416667,0.333334,0,10.777965,0.0,5.388983,1,0,0,3,0.411774,0.8523,673,673,0.072917,0.092262,0.342262,0.014881,0.010417,0.041667,0.0,0.0,0.0,0.184524,1.0,3.5,9.5,413.5,0.002546,0.031566,0.0,0.0,0.0,0.014158,0.973389,0.917597,0.960316,0.859561,0.886973,0.721247,0.167714
