model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,map,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,mrr,1.000000,0.998252,0.037323,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,roc_auc,0.734133,0.732214,0.049529,0.629782,0.825464,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,average_precision,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,pr_auc,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,map,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,mrr,1.000000,0.999557,0.018145,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,roc_auc,0.736267,0.734323,0.048843,0.633169,0.826511,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,average_precision,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,pr_auc,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,map,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,mrr,1.000000,0.999700,0.014998,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,roc_auc,0.724267,0.722492,0.050528,0.618166,0.817306,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,average_precision,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,pr_auc,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,map,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,roc_auc,0.731200,0.729294,0.049661,0.626188,0.822833,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,average_precision,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,pr_auc,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,map,0.557628,0.558447,0.068259,0.418555,0.684497,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,mrr,1.000000,0.999700,0.014998,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,roc_auc,0.762267,0.761591,0.043940,0.672292,0.844342,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,average_precision,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,pr_auc,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,map,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,mrr,1.000000,0.999507,0.017796,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,roc_auc,0.762267,0.761591,0.043940,0.672292,0.844342,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,average_precision,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,pr_auc,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,map,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,mrr,1.000000,0.999507,0.017796,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,roc_auc,0.762267,0.761591,0.043940,0.672292,0.844342,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,average_precision,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,pr_auc,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,map,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,mrr,1.000000,0.999507,0.017796,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,roc_auc,0.762267,0.761591,0.043940,0.672292,0.844342,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,average_precision,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,pr_auc,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,map,0.556195,0.557518,0.073426,0.410242,0.693682,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,mrr,1.000000,0.999507,0.017796,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,roc_auc,0.734133,0.732214,0.049529,0.629782,0.825464,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,average_precision,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,pr_auc,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,map,0.553409,0.554354,0.069625,0.412270,0.682410,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,mrr,1.000000,0.999557,0.018145,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,roc_auc,0.736267,0.734323,0.048843,0.633169,0.826511,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,average_precision,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,pr_auc,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,map,0.557051,0.557644,0.068237,0.420228,0.684456,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,mrr,1.000000,0.999700,0.014998,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,roc_auc,0.724267,0.722492,0.050528,0.618166,0.817306,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,average_precision,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,pr_auc,0.558299,0.559110,0.067157,0.419344,0.683991,5000,200,50,150,126
