evidence_uid,source_dataset,pgp_id_raw,alias_raw,alias_normalized,fingerprint_short_raw,fingerprint_raw,fingerprint_short_normalized,fingerprint_raw_normalized,vendor_ids_raw,vendor_id_count,user_hash_raw,review_count_raw,star_rate_raw
3z669jwe|pgp:23059,3z669jwe.sql,23059,ShesJustHappy,shesjusthappy,0x3352F1CFC7917B90,D42CC9FA773C599A20E5A1723352F1CFC7917B90,0x3352F1CFC7917B90,D42CC9FA773C599A20E5A1723352F1CFC7917B90,38374,1,,0,0.00
3z669jwe|pgp:23061,3z669jwe.sql,23061,TestingTheLimits,testingthelimits,0x1A32DF9D47BB77B9,341B0C9259D1542BF79938E41A32DF9D47BB77B9,0x1A32DF9D47BB77B9,341B0C9259D1542BF79938E41A32DF9D47BB77B9,38375,1,,0,0.00
3z669jwe|pgp:23062,3z669jwe.sql,23062,bridgetmorna,bridgetmorna,0xDBD28B461C7D160B,3D53CFF168B80DB18E4A9A57DBD28B461C7D160B,0xDBD28B461C7D160B,3D53CFF168B80DB18E4A9A57DBD28B461C7D160B,38376,1,,0,0.00
3z669jwe|pgp:23063,3z669jwe.sql,23063,adderallshop,adderallshop,0xC13C3767B69F62BD,0D90E5AC5546486F0D5DAF9CC13C3767B69F62BD,0xC13C3767B69F62BD,0D90E5AC5546486F0D5DAF9CC13C3767B69F62BD,38377,1,,0,0.00
3z669jwe|pgp:23064,3z669jwe.sql,23064,TheWizzardNL,thewizzardnl,0x1C449A96AA8BFA09,34F1440AE58DF274346631B61C449A96AA8BFA09,0x1C449A96AA8BFA09,34F1440AE58DF274346631B61C449A96AA8BFA09,"38378,39654",2,,0,0.00
3z669jwe|pgp:23065,3z669jwe.sql,23065,robertpaterson813,robertpaterson813,0xD4B46877387B1323,080219EFDFA72FBB65B9B811D4B46877387B1323,0xD4B46877387B1323,080219EFDFA72FBB65B9B811D4B46877387B1323,"38379,39081",2,,0,0.00
3z669jwe|pgp:23066,3z669jwe.sql,23066,DrugMasterXTC,drugmasterxtc,0x547C88FA9E0F0C8F,0F59FF9F2C465818FAB52523547C88FA9E0F0C8F,0x547C88FA9E0F0C8F,0F59FF9F2C465818FAB52523547C88FA9E0F0C8F,"38380,40863",2,,0,0.00
3z669jwe|pgp:23067,3z669jwe.sql,23067,Phosphorus,phosphorus,0x57A57C9E607391C9,44690034D40B835A9DA9FEA357A57C9E607391C9,0x57A57C9E607391C9,44690034D40B835A9DA9FEA357A57C9E607391C9,38381,1,d1b22ae23fa4f255,0,0.00
3z669jwe|pgp:23068,3z669jwe.sql,23068,cerealkkiller1979,cerealkkiller1979,0xEF3CF6869C4C8213,0737C2E99C4B002CD8061FD4EF3CF6869C4C8213,0xEF3CF6869C4C8213,0737C2E99C4B002CD8061FD4EF3CF6869C4C8213,38124,1,,0,0.00
3z669jwe|pgp:23069,3z669jwe.sql,23069,grandschemer,grandschemer,0xB38AB9074748E12C,5FDD02BCD996F9F4003B79CEB38AB9074748E12C,0xB38AB9074748E12C,5FDD02BCD996F9F4003B79CEB38AB9074748E12C,38383,1,,0,0.00
3z669jwe|pgp:23070,3z669jwe.sql,23070,PowerForThePlugs,powerfortheplugs,0x0EE77E940BC2CC80,FBF6BD7A97EB86FBFDB347B50EE77E940BC2CC80,0x0EE77E940BC2CC80,FBF6BD7A97EB86FBFDB347B50EE77E940BC2CC80,38384,1,,0,0.00
3z669jwe|pgp:23071,3z669jwe.sql,23071,smoothcrims,smoothcrims,0x48C8194FDE5B75E3,90DBF07466373E6531097E7748C8194FDE5B75E3,0x48C8194FDE5B75E3,90DBF07466373E6531097E7748C8194FDE5B75E3,38309,1,,1,100.00
3z669jwe|pgp:23072,3z669jwe.sql,23072,GardenersDirect,gardenersdirect,0x3F2433B325F905B1,6E6DEB219E770F2E29CC51C93F2433B325F905B1,0x3F2433B325F905B1,6E6DEB219E770F2E29CC51C93F2433B325F905B1,38388,1,,0,0.00
3z669jwe|pgp:23073,3z669jwe.sql,23073,WeTheNorth,wethenorth,0xA5F10AEF13182F4A,4DE585090D1C5EA5FC44608DA5F10AEF13182F4A,0xA5F10AEF13182F4A,4DE585090D1C5EA5FC44608DA5F10AEF13182F4A,38389,1,,0,0.00
3z669jwe|pgp:23074,3z669jwe.sql,23074,TheRealMaryJaneCo,therealmaryjaneco,0xEC9594834EF6C9E0,35587349D4E1132F0D9C44ABEC9594834EF6C9E0,0xEC9594834EF6C9E0,35587349D4E1132F0D9C44ABEC9594834EF6C9E0,38390,1,c9fa745965d38244,0,0.00
3z669jwe|pgp:23075,3z669jwe.sql,23075,TimTop12,timtop12,0x4FE993AE325BAF59,872C036111AC8189763F241D4FE993AE325BAF59,0x4FE993AE325BAF59,872C036111AC8189763F241D4FE993AE325BAF59,38391,1,,0,0.00
3z669jwe|pgp:23076,3z669jwe.sql,23076,weedmen91,weedmen91,0xB091247F7421A249,4C4AE0A50DFF660D8C19EA7EB091247F7421A249,0xB091247F7421A249,4C4AE0A50DFF660D8C19EA7EB091247F7421A249,38392,1,,0,0.00
3z669jwe|pgp:23077,3z669jwe.sql,23077,OysterCards4u,oystercards4u,0x35FE892FCF3EC753,76DEFF20454ADDF4A9FECC9535FE892FCF3EC753,0x35FE892FCF3EC753,76DEFF20454ADDF4A9FECC9535FE892FCF3EC753,38393,1,,0,0.00
3z669jwe|pgp:23078,3z669jwe.sql,23078,miclebekham,miclebekham,0x45B5B91A87CD5E26,42F79EBC7AA870390C71666F45B5B91A87CD5E26,0x45B5B91A87CD5E26,42F79EBC7AA870390C71666F45B5B91A87CD5E26,38394,1,,0,0.00
3z669jwe|pgp:23079,3z669jwe.sql,23079,Tomfish,tomfish,0x422213424E8DD185,14C4B4C9B1E06C8D9E6772E3422213424E8DD185,0x422213424E8DD185,14C4B4C9B1E06C8D9E6772E3422213424E8DD185,38395,1,,0,0.00
3z669jwe|pgp:23080,3z669jwe.sql,23080,wizardofwax,wizardofwax,0x67CBF0EF0B1047F1,E9B40DD7230F93BB3D1B3D0067CBF0EF0B1047F1,0x67CBF0EF0B1047F1,E9B40DD7230F93BB3D1B3D0067CBF0EF0B1047F1,"38397,38806",2,,0,0.00
3z669jwe|pgp:23081,3z669jwe.sql,23081,captainamerica55,captainamerica55,0xAC87F0D69442C352,AAF00629776C404DE3B6ECD2AC87F0D69442C352,0xAC87F0D69442C352,AAF00629776C404DE3B6ECD2AC87F0D69442C352,38398,1,,0,0.00
3z669jwe|pgp:23082,3z669jwe.sql,23082,hacklt,hacklt,0x445A994E37AD21E4,7720C863EE6150AE42597097445A994E37AD21E4,0x445A994E37AD21E4,7720C863EE6150AE42597097445A994E37AD21E4,38399,1,,0,0.00
3z669jwe|pgp:23083,3z669jwe.sql,23083,AmsterdamConnection(2),amsterdamconnection(2),0x1716BC2EC03BA491,624B502EF5B66C04DC94121F1716BC2EC03BA491,0x1716BC2EC03BA491,624B502EF5B66C04DC94121F1716BC2EC03BA491,"30515,30685,30412",3,,0,0.00
3z669jwe|pgp:23084,3z669jwe.sql,23084,EasyFM,easyfm,0x65892125DFE22921,96B27FF6E4F3F2AB024BF1F865892125DFE22921,0x65892125DFE22921,96B27FF6E4F3F2AB024BF1F865892125DFE22921,"38400,40905",2,,0,0.00
3z669jwe|pgp:23085,3z669jwe.sql,23085,koko33(2),koko33(2),0xBD772550DF748CDE,3206F90EC02FDC39305032C6BD772550DF748CDE,0xBD772550DF748CDE,3206F90EC02FDC39305032C6BD772550DF748CDE,35996,1,,0,0.00
3z669jwe|pgp:23086,3z669jwe.sql,23086,masturba.TOR,masturba.tor,0xD4574AEAF5D523ED,BC0988199B78FDC1F710D7A7D4574AEAF5D523ED,0xD4574AEAF5D523ED,BC0988199B78FDC1F710D7A7D4574AEAF5D523ED,38401,1,,0,0.00
3z669jwe|pgp:23087,3z669jwe.sql,23087,hackrzs,hackrzs,0xAA90FB9A74267680,C65F839ADEA459F9DEBD83C0AA90FB9A74267680,0xAA90FB9A74267680,C65F839ADEA459F9DEBD83C0AA90FB9A74267680,38402,1,2e8b2283a67af7c2,0,0.00
3z669jwe|pgp:23088,3z669jwe.sql,23088,thewormhole,thewormhole,0xF5B75640C41C975A,0682E8D8DE6F6CFA1867D5BEF5B75640C41C975A,0xF5B75640C41C975A,0682E8D8DE6F6CFA1867D5BEF5B75640C41C975A,38403,1,,0,0.00
3z669jwe|pgp:23089,3z669jwe.sql,23089,Low10042,low10042,0x62C9CDF735D8A942,46931F2A1FD274EB5204DBE162C9CDF735D8A942,0x62C9CDF735D8A942,46931F2A1FD274EB5204DBE162C9CDF735D8A942,38404,1,,0,0.00
3z669jwe|pgp:23090,3z669jwe.sql,23090,ericmoll12,ericmoll12,0xBB765A17C212F972,25E6143D737DE16D2B0303D6BB765A17C212F972,0xBB765A17C212F972,25E6143D737DE16D2B0303D6BB765A17C212F972,38405,1,,0,0.00
3z669jwe|pgp:23091,3z669jwe.sql,23091,Edeemer,edeemer,0x0BCF1EF761C3D122,EE26691A5E450A08582F0F720BCF1EF761C3D122,0x0BCF1EF761C3D122,EE26691A5E450A08582F0F720BCF1EF761C3D122,38406,1,,0,0.00
3z669jwe|pgp:23092,3z669jwe.sql,23092,imaddicted,imaddicted,0x90205FE9DABABCA8,A9906C7FFCA13427BC8F96D590205FE9DABABCA8,0x90205FE9DABABCA8,A9906C7FFCA13427BC8F96D590205FE9DABABCA8,38407,1,,0,0.00
3z669jwe|pgp:23093,3z669jwe.sql,23093,mostlyharmless,mostlyharmless,0x8DE4A61C243C5463,479C4863A856A3375074AA4C8DE4A61C243C5463,0x8DE4A61C243C5463,479C4863A856A3375074AA4C8DE4A61C243C5463,33016,1,31c115e5c360beda,0,0.00
