alias_normalized,from_tijkc3xx_count,from_suspected_strong_count,from_suspected_weak_count,from_suspected_imposter_count,source_presence_count,is_official_benchmark_alias,is_aux_graph_expanded_alias,linked_aux_fingerprint_count,linked_aux_fingerprints
1shot1kill,1,0,0,0,1,true,false,2,0x9ED8F6439ED30B1F || 95FEBEAC1903E70BC89134389ED8F6439ED30B1F
1stclark1,1,0,0,0,1,true,false,0,
1stclassgear,1,0,0,0,1,true,false,2,0xE602415A034DD6B2 || 252D5A45C71EAA99E516E835E602415A034DD6B2
1stellablue,1,0,3,0,2,true,false,2,0x8CB99BEDC9C35234 || 8E41D8AAF179051122D079F98CB99BEDC9C35234
1stopshattershop,1,0,0,0,1,true,false,2,0CD4E4B83411640C836219006D0E1076C2620CB7 || 0x6D0E1076C2620CB7
1teamgb,1,0,1,0,2,true,false,0,
1timefooled,1,0,0,0,1,true,false,2,0x689D94B290D07442 || D15DDF4F4C37B454BD0F458B689D94B290D07442
1xanoymousx1,1,0,0,0,1,true,false,0,
2011fpt,1,0,0,0,1,true,false,2,0x7F871FB0D8C37F76 || A642F2EB70A23D9E2A9457D47F871FB0D8C37F76
20121221,1,0,0,0,1,true,false,2,0x77574B4D66857BE4 || 119DF791AC216F53A21AFDB477574B4D66857BE4
2015mrclean,1,0,0,0,1,true,false,2,0xB31A545354C37556 || FA0CC24901E0566B7458EEA3B31A545354C37556
209209,1,0,0,0,1,true,false,0,
21savagecrew,1,0,0,0,1,true,false,2,0xB4C3FD1D5822603F || F89438BAD92986E70F66A7D4B4C3FD1D5822603F
223rem,1,0,0,0,1,true,false,2,0x9F6EF471D48D6405 || C000B489BA09581983CC9E279F6EF471D48D6405
22cv,1,0,0,0,1,true,false,2,0x679EF5504B1D037D || F1BB3BB7F7D0EB77BE034935679EF5504B1D037D
22sarpat33,1,0,0,0,1,true,false,0,
23_medusaman_99_00,1,0,0,0,1,true,false,0,
23fts23,1,0,0,0,1,true,false,2,05029D44DEFBF02ED37DC4BF348F4DEF4B29F2E3 || 0x348F4DEF4B29F2E3
24-7shipping,1,0,0,0,1,true,false,2,0xF963401D558123D6 || 9BB39477B3992E5A7E762C98F963401D558123D6
2471337,2,3,3,0,3,true,false,2,0x7B39B0A2E39D1B63 || A94DB4E79AC264DCA99954657B39B0A2E39D1B63
247shop,1,0,0,0,1,true,false,2,0xF2042AFB4C4A56DB || 5717A2EE649C45B9CB821F3FF2042AFB4C4A56DB
24drugstore,2,0,1,0,2,true,false,2,0xB147E058F83ADDDB || DDCF6B63075917A38B552408B147E058F83ADDDB
24h7apteekki,1,0,0,0,1,true,false,2,0xF4F5673686AB4F8D || 1309495FA9A799EFEA6C969BF4F5673686AB4F8D
24hservice,1,0,0,0,1,true,false,2,0x46A6362C351E1088 || E21B66A17FFBCD9B7502E87F46A6362C351E1088
24k,1,0,0,0,1,true,false,2,0xCE6341AFB15D4E8E || 7988DEF62AB22D0FDC25344FCE6341AFB15D4E8E
24kpharma,1,0,0,0,1,true,false,2,0xCEC5D7AA5512C9D0 || C8592DD370C8CDC2537C51DCCEC5D7AA5512C9D0
25-7,2,0,0,0,1,true,false,2,0x7754E40EF4599B05 || 935291748FE652E091CB059A7754E40EF4599B05
25strains,1,0,0,0,1,true,false,2,0x06609AC164F36C88 || 4AB9BC5111C5826DF56A2A7506609AC164F36C88
2689838669,1,0,0,0,1,true,false,2,0x481D57B821125584 || 59F0565D5D363F1B847F7249481D57B821125584
26plusdoc,2,0,0,0,1,true,false,2,0x618F710E7CC7AC80 || 925CBCFEBE2FA9CD378E3C8B618F710E7CC7AC80
28dduk,1,0,0,0,1,true,false,2,0xF16E55D00DC99793 || 63B7D69FDAF7B764CD336820F16E55D00DC99793
28jjdis,1,0,0,0,1,true,false,2,0xD24068C2C1751593 || EE588CBEAE5A647A7C450736D24068C2C1751593
29483006,1,0,0,0,1,true,false,2,0xD24C46D52C501C6C || 3B397E42B5BCAFBC9FE1F0C2D24C46D52C501C6C
298_kelvin,4,0,0,0,1,true,false,2,0x17C3AD2A2D929962 || C2F9ADC0FBBE9E1512EB01A717C3AD2A2D929962
2budbrothers3,1,0,0,0,1,true,false,0,
2c-queen,1,0,0,0,1,true,false,2,0x62F39AB01472A64B || 7448035EFEE770803EFAC6BD62F39AB01472A64B
2cbking,4,0,0,0,1,true,false,2,0x3BD04C00F1C243E1 || 6190AC6402EB92F6A57B505F3BD04C00F1C243E1
2concentrated,1,0,0,0,1,true,false,2,0x420BE0EBBCDA541F || 2A8E68138ACC318BF543BF60420BE0EBBCDA541F
2day,1,0,0,0,1,true,false,0,
2daybars,1,0,0,0,1,true,false,2,0xF62380AB66BF86E4 || AA7365099B0E3851FBCB093BF62380AB66BF86E4
2dduk,1,0,0,0,1,true,false,2,0x02C586DBF0E8C227 || 98208A24BA40F62F8091770B02C586DBF0E8C227
2down,2,0,0,0,1,true,false,2,0x4667DC2F08B2FB12 || 476894F7CFD03C1CFAA5B9C44667DC2F08B2FB12
2f4g458u,1,0,0,0,1,true,false,2,0xBFBF4E8A13FE19DE || 2BD2C4A99D1D675A77554825BFBF4E8A13FE19DE
2fent2quit,1,0,0,0,1,true,false,2,0xA3B7B22A178A4ADA || BEAB931B5AA7F4677FE73A8CA3B7B22A178A4ADA
2good4dn,1,0,1,0,2,true,false,0,
2happytimes2,3,0,0,0,1,true,false,2,0x92CD033476D00417 || 2177DA4073A3847BB1DB5E0592CD033476D00417
2infinity,1,0,0,0,1,true,false,2,0x1889E6F1D96067E9 || 9B5F16C4EE1FD0ACC1AB20601889E6F1D96067E9
2klfndn2,1,0,0,0,1,true,false,0,
2legittooquit,1,0,0,0,1,true,false,2,0x6314E7029EA1DAB9 || 2CFDFD5FC9CE98C5F21CF4D86314E7029EA1DAB9
2ndamendman,1,0,0,0,1,true,false,2,0x2D092191D157E5C4 || 70E1C8ECF5C7DD8D6C51D0E62D092191D157E5C4
2ndusername,1,0,0,0,1,true,false,0,
2pacback,1,0,0,0,1,true,false,2,0AA3D9D52FC0AC7BBA9C615082DA58212174DFD3 || 0x82DA58212174DFD3
2paccc,1,0,0,0,1,true,false,2,0xACE5A33598CB5B81 || 80D3A631AC1D8827F01E2732ACE5A33598CB5B81
2rich4bitch,1,0,0,0,1,true,false,2,0x358DE7F1C685AC55 || C434CF4CE38CA306A652EC31358DE7F1C685AC55
2scoobysnack2,1,0,1,0,2,true,false,0,
2see,1,0,0,0,1,true,false,2,0x538B9A6AC4FCEC73 || 96411D2D1CFBF9610840D25A538B9A6AC4FCEC73
2toketony,1,0,0,0,1,true,false,2,0x665693DA91C32680 || C07EE43AEEA117782F68F88E665693DA91C32680
2tracks,1,0,0,0,1,true,false,2,0xCFDCE4988F6F1E51 || 60D25A8FC64AFAE407A638BBCFDCE4988F6F1E51
2weed7,1,0,0,0,1,true,false,2,0x0967AE9409347C0E || 6E1E9E3CCB8E1F06DEC1EEE70967AE9409347C0E
2whitewall468og,1,0,0,0,1,true,false,2,08701ED083AABACB807A47BE055648F6A0BCAA31 || 0x055648F6A0BCAA31
2wks2sun,1,0,0,0,1,true,false,2,0x501F8957AA116602 || FB7637B357A68E5175D96AE1501F8957AA116602
2xf,1,0,0,0,1,true,false,2,0x7FF9EC0BE45B1DE0 || E50E5CA254EC99E5D98A833D7FF9EC0BE45B1DE0
2zehberta,1,0,0,0,1,true,false,0,
3-leg-racer,3,0,0,0,1,true,false,2,0xC1ED07A0B062DEEA || CD528DE8996767767D4A21F9C1ED07A0B062DEEA
300labs,1,0,0,0,1,true,false,2,0xB5216F1FFC03E5BE || 75E793D4A45F090EEC3DDDD2B5216F1FFC03E5BE
30blues,2,3,5,0,3,true,false,2,0xCF7D312B96074461 || ADC38FEA44F60CBE870F36FACF7D312B96074461
311sk8,1,0,0,0,1,true,false,2,0xC25A4BC0773DD472 || A37903547E00447C50577F6DC25A4BC0773DD472
319219,1,0,1,0,2,true,false,0,
31chap0,1,0,0,0,1,true,false,2,0xBBCA4C2E08637E57 || 6438ABD99D55A91519CDED39BBCA4C2E08637E57
32dxbv!vrwndid,1,0,0,0,1,true,false,2,0x305D3AC98377F9FB || C74935E537CE63C0D5EE7481305D3AC98377F9FB
334242,1,0,0,0,1,true,false,0,
