comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step15_v2_domain_balanced_vs_from_scratch,step15_v2_domain_balanced_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.714371,0.699299,0.015072,0.006662,-0.108300,0.074526,0.692800,5000,no
step15_v2_target_only_vs_from_scratch,step15_v2_target_only_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.881232,0.889636,-0.008403,-0.009881,-0.088409,0.059832,0.775600,5000,no
step15_v2_target_only_vs_from_scratch,step15_v2_target_only_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.633434,0.699299,-0.065865,-0.062481,-0.198697,0.055511,0.308000,5000,no
step15_v2_source_only_vs_from_scratch,step15_v2_source_only_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.788796,0.889636,-0.100840,-0.092976,-0.193498,0.022246,0.113200,5000,no
step15_v2_source_only_vs_from_scratch,step15_v2_source_only_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.501361,0.699299,-0.197938,-0.171977,-0.410073,0.118685,0.220400,5000,no
step15_v2_zh_positive_mixup_vs_from_scratch,step15_v2_zh_positive_mixup_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.892997,0.889636,0.003361,0.003444,-0.029412,0.032318,0.768000,5000,no
step15_v2_zh_positive_mixup_vs_from_scratch,step15_v2_zh_positive_mixup_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.693178,0.699299,-0.006121,-0.013373,-0.148713,0.058606,0.939200,5000,no
step15_v2_same_evidence_mixup_vs_from_scratch,step15_v2_same_evidence_mixup_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.887395,0.889636,-0.002241,-0.001362,-0.025892,0.022147,0.934000,5000,no
step15_v2_same_evidence_mixup_vs_from_scratch,step15_v2_same_evidence_mixup_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.698338,0.699299,-0.000961,-0.004232,-0.101914,0.047268,0.898400,5000,no
step15_v2_multitask_vs_identity_only,step15_v2_multitask_ablation_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.886275,0.889636,-0.003361,-0.003784,-0.048780,0.034093,0.883600,5000,no
step15_v2_multitask_vs_identity_only,step15_v2_multitask_ablation_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.691266,0.699299,-0.008033,-0.013389,-0.127751,0.063441,0.832800,5000,no
step15_v2_identifier_operational_vs_clean_primary,step15_v2_identifier_operational_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.882913,0.889636,-0.006723,-0.004381,-0.063915,0.060250,0.844000,5000,no
step15_v2_identifier_operational_vs_clean_primary,step15_v2_identifier_operational_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.745849,0.699299,0.046550,0.047816,-0.083281,0.221741,0.532400,5000,no
step15_v3_public_noise_weighted_vs_v2_primary,step15_v3_public_noise_weighted_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,roc_auc,0.893557,0.889636,0.003922,0.005088,-0.020528,0.034959,0.715200,5000,no
step15_v3_public_noise_weighted_vs_v2_primary,step15_v3_public_noise_weighted_phase4_seed_mean,step15_v2_identity_from_scratch_phase4_seed_mean,average_precision,0.676713,0.699299,-0.022586,-0.026889,-0.185934,0.046478,0.781200,5000,no
step15_v3_public_noise_weighted_vs_raw_e5,step15_v3_public_noise_weighted_phase4_seed_mean,raw_e5_cosine,roc_auc,0.893557,0.806723,0.086835,0.091734,-0.055790,0.244773,0.208800,5000,no
