model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,map,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,mrr,1.000000,0.998272,0.036883,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,roc_auc,0.813600,0.813021,0.037902,0.735811,0.883120,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,average_precision,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,pr_auc,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,map,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,mrr,1.000000,0.998272,0.036883,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,roc_auc,0.813600,0.813021,0.037902,0.735811,0.883120,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,average_precision,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,pr_auc,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,map,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,mrr,1.000000,0.998272,0.036883,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260320,step9_clean_same_ratio_mixup_ablation_seed,roc_auc,0.762667,0.761961,0.043973,0.672478,0.845673,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260320,step9_clean_same_ratio_mixup_ablation_seed,average_precision,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260320,step9_clean_same_ratio_mixup_ablation_seed,pr_auc,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260320,step9_clean_same_ratio_mixup_ablation_seed,map,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260320,step9_clean_same_ratio_mixup_ablation_seed,mrr,1.000000,0.999517,0.017356,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260321,step9_clean_same_ratio_mixup_ablation_seed,roc_auc,0.762667,0.761961,0.043973,0.672478,0.845673,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260321,step9_clean_same_ratio_mixup_ablation_seed,average_precision,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260321,step9_clean_same_ratio_mixup_ablation_seed,pr_auc,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260321,step9_clean_same_ratio_mixup_ablation_seed,map,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260321,step9_clean_same_ratio_mixup_ablation_seed,mrr,1.000000,0.999517,0.017356,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260322,step9_clean_same_ratio_mixup_ablation_seed,roc_auc,0.762667,0.761961,0.043973,0.672478,0.845673,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260322,step9_clean_same_ratio_mixup_ablation_seed,average_precision,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260322,step9_clean_same_ratio_mixup_ablation_seed,pr_auc,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260322,step9_clean_same_ratio_mixup_ablation_seed,map,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_20260322,step9_clean_same_ratio_mixup_ablation_seed,mrr,1.000000,0.999517,0.017356,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_mean,step9_clean_same_ratio_mixup_ablation_seed_mean,roc_auc,0.762667,0.761961,0.043973,0.672478,0.845673,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_mean,step9_clean_same_ratio_mixup_ablation_seed_mean,average_precision,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_mean,step9_clean_same_ratio_mixup_ablation_seed_mean,pr_auc,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_mean,step9_clean_same_ratio_mixup_ablation_seed_mean,map,0.556429,0.557782,0.072771,0.409951,0.693599,5000,200,50,150,126
step9_e5_lr_l2_100pct_seed_mean,step9_clean_same_ratio_mixup_ablation_seed_mean,mrr,1.000000,0.999517,0.017356,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,roc_auc,0.728267,0.727008,0.047110,0.629613,0.816164,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,average_precision,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,pr_auc,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,map,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260320,step9_clean_current_seed,mrr,1.000000,0.999750,0.012746,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,roc_auc,0.731200,0.730087,0.046217,0.632838,0.817164,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,average_precision,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,pr_auc,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,map,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260321,step9_clean_current_seed,mrr,1.000000,0.999750,0.012746,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,roc_auc,0.732800,0.731384,0.047540,0.633843,0.821442,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,average_precision,0.545349,0.546078,0.066382,0.409630,0.671955,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,pr_auc,0.545349,0.546078,0.066382,0.409630,0.671955,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,map,0.545349,0.546078,0.066382,0.409630,0.671955,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_20260322,step9_clean_current_seed,mrr,1.000000,0.999750,0.012746,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,roc_auc,0.730667,0.729453,0.046793,0.632459,0.818724,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,average_precision,0.539869,0.540607,0.065630,0.405860,0.666105,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,pr_auc,0.539869,0.540607,0.065630,0.405860,0.666105,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,map,0.539869,0.540607,0.065630,0.405860,0.666105,5000,200,50,150,126
step9_e5_lr_l2_50pct_seed_mean,step9_clean_current_seed_mean,mrr,1.000000,0.999750,0.012746,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,roc_auc,0.757733,0.757319,0.044202,0.666056,0.840820,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,average_precision,0.563501,0.564458,0.071295,0.418233,0.700594,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,pr_auc,0.563501,0.564458,0.071295,0.418233,0.700594,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,map,0.563501,0.564458,0.071295,0.418233,0.700594,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260320,step9_clean_minority_regularization_seed,mrr,1.000000,0.998833,0.026487,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,roc_auc,0.759067,0.758627,0.042946,0.670161,0.838582,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,average_precision,0.557895,0.558607,0.070895,0.411255,0.693722,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,pr_auc,0.557895,0.558607,0.070895,0.411255,0.693722,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,map,0.557895,0.558607,0.070895,0.411255,0.693722,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260321,step9_clean_minority_regularization_seed,mrr,1.000000,0.998833,0.026487,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,roc_auc,0.751600,0.751194,0.044182,0.660709,0.834632,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,average_precision,0.552735,0.553626,0.071514,0.406516,0.690075,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,pr_auc,0.552735,0.553626,0.071514,0.406516,0.690075,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,map,0.552735,0.553626,0.071514,0.406516,0.690075,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_20260322,step9_clean_minority_regularization_seed,mrr,1.000000,0.998833,0.026487,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,roc_auc,0.756667,0.756160,0.043791,0.665910,0.838327,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,average_precision,0.557633,0.558439,0.071324,0.410763,0.694825,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,pr_auc,0.557633,0.558439,0.071324,0.410763,0.694825,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,map,0.557633,0.558439,0.071324,0.410763,0.694825,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,mrr,1.000000,0.998833,0.026487,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,roc_auc,0.728267,0.727008,0.047110,0.629613,0.816164,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,average_precision,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,pr_auc,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,map,0.537199,0.537873,0.065657,0.404022,0.663453,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,mrr,1.000000,0.999750,0.012746,1.000000,1.000000,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,roc_auc,0.731200,0.730087,0.046217,0.632838,0.817164,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,average_precision,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,pr_auc,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,map,0.536192,0.536642,0.065265,0.402425,0.661899,5000,200,50,150,126
