comparison_id,evaluation_split,scope,metric,candidate,baseline,candidate_value,baseline_value,difference,grouped_bootstrap_ci_low,grouped_bootstrap_ci_high,valid_grouped_bootstrap_resamples,two_level_seed_component_ci_low,two_level_seed_component_ci_high,valid_two_level_resamples,paired_seed_ids,permutation_p_value,permutation_extreme_count,valid_permutations
source_only_clean_fusion_vs_raw_clean_e5,internal_development_test,all_rows,pr_auc,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.401791694810691,0.39744459407221827,0.00434710073847272,-0.15078431207481058,0.12262584109457683,5000,,,0,False,0.9632073585282943,4816,5000
source_only_clean_fusion_vs_raw_clean_e5,internal_development_test,all_rows,roc_auc,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.5756,0.6622666666666667,-0.08666666666666667,-0.20624913264075823,0.0338272849462366,5000,,,0,False,0.4097180563887223,2048,5000
source_only_clean_fusion_vs_raw_clean_e5,representative_validation,all_rows,average_precision,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.6366756174725337,0.5783968032093207,0.05827881426321291,-0.123436245700737,0.22515127262473544,5000,,,0,False,0.744251149770046,3721,5000
source_only_clean_fusion_vs_raw_clean_e5,representative_validation,all_rows,pr_auc,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.6344441083189298,0.5734307150399292,0.06101339327900068,-0.1156270996376634,0.23849571955088508,5000,,,0,False,0.7374525094981004,3687,5000
source_only_clean_fusion_vs_raw_clean_e5,representative_validation,all_rows,roc_auc,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.5939249720044792,0.6243001119820829,-0.03037513997760366,-0.1979097973750863,0.1661744282307931,5000,,,0,False,0.8666266746650669,4333,5000
two_stage_veto_vs_selected_clean,internal_development_test,all_rows,average_precision,step15_v7_two_stage_veto,step15_v7_clean_selected,0.3390029844049192,0.4639043612286591,-0.12490137682373986,-0.19650727633107506,-0.040627259175585115,5000,-0.19650727633107506,-0.040627259175585115,5000,True,0.0021995600879824036,10,5000
two_stage_veto_vs_selected_clean,internal_development_test,all_rows,pr_auc,step15_v7_two_stage_veto,step15_v7_clean_selected,0.33452782652982294,0.4597446030586375,-0.12521677652881458,-0.1989879606255511,-0.04210538958310034,5000,-0.1989879606255511,-0.04210538958310034,5000,True,0.0027994401119776045,13,5000
two_stage_veto_vs_selected_clean,internal_development_test,all_rows,roc_auc,step15_v7_two_stage_veto,step15_v7_clean_selected,0.5222666666666667,0.6632,-0.14093333333333335,-0.21928145247186073,-0.05514721055483835,5000,-0.21928145247186073,-0.05514721055483835,5000,True,0.0013997200559888023,6,5000
two_stage_veto_vs_selected_clean,representative_validation,all_rows,average_precision,step15_v7_two_stage_veto,step15_v7_clean_selected,0.5353994322774165,0.6444641301010944,-0.10906469782367789,-0.18999524238194962,-0.03528342308050458,5000,-0.18999524238194962,-0.03528342308050458,5000,True,0.003999200159968006,19,5000
two_stage_veto_vs_selected_clean,representative_validation,all_rows,pr_auc,step15_v7_two_stage_veto,step15_v7_clean_selected,0.5306061296464533,0.6408926194253819,-0.11028648977892863,-0.1984695075781674,-0.03579943000407296,5000,-0.1984695075781674,-0.03579943000407296,5000,True,0.0061987602479504095,30,5000
two_stage_veto_vs_selected_clean,representative_validation,all_rows,roc_auc,step15_v7_two_stage_veto,step15_v7_clean_selected,0.5594904815229563,0.6975083986562151,-0.13801791713325873,-0.24786858974358972,-0.051246922965889834,5000,-0.24786858974358972,-0.051246922965889834,5000,True,0.003799240151969606,18,5000
