step26_split,model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc,mean_score,q95_score,maximum_score,top_positive_budget_intrusion_count
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,ordinary_negative,112,0,112,,,,0.9003945493272373,0.9592556893825531,1.0,21
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,public_contact_or_url_noise,6,0,6,,,,0.923744281133016,0.9361477047204971,0.9405993819236755,1
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,semantic_topic_not_controller,22,0,22,,,,0.8983088135719299,0.935461363196373,0.9550506472587585,4
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,template_clone_not_controller,10,0,10,,,,0.8944913148880005,0.9222828865051269,0.9247790575027466,0
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,direct_component_positive_plus_all_negatives,172,22,150,0.6345454545454545,0.29955573533120466,0.2732377427965035,,,,
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,soft_positive_plus_all_negatives,178,28,150,0.7083333333333333,0.3141340229533873,0.29204823661775187,,,,
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,ordinary_negative,112,0,112,,,,0.7899267189204693,0.9424185186624526,1.0,14
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,public_contact_or_url_noise,6,0,6,,,,0.9390716453393301,0.9602662473917007,0.9614385366439819,4
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,semantic_topic_not_controller,22,0,22,,,,0.8150887936353683,0.9504676073789596,0.9698610305786133,6
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,template_clone_not_controller,10,0,10,,,,0.8538503527641297,0.9622572302818299,0.9749630689620972,5
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,direct_component_positive_plus_all_negatives,172,22,150,0.7981818181818181,0.29751713617675535,0.2810766891513093,,,,
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,soft_positive_plus_all_negatives,178,28,150,0.7692857142857142,0.37659956859438753,0.35411790468440957,,,,
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,ordinary_negative,112,0,112,,,,0.8329563223357711,0.9946428209543228,1.0,13
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,public_contact_or_url_noise,6,0,6,,,,0.9963745276133219,0.9989011585712433,0.9990295171737671,6
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,semantic_topic_not_controller,22,0,22,,,,0.8696709519082849,0.9928607314825058,0.997875988483429,2
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,template_clone_not_controller,10,0,10,,,,0.9618042230606079,0.9983833342790603,0.9985723495483398,5
